
username,2024-03-06T15:38:00.664842400,IN
username,2024-03-06T15:38:31.101329800,OUT
username,2024-03-06T15:43:33.920649700,IN
username,2024-03-06T15:43:40.466762300,OUT
username,2024-03-06T16:35:58.821087800,IN
userID,currentUsername,2024-03-06T16:57:07.399832900,IN
username,2024-03-06T16:59:01.112486500,IN
username,2024-03-06T17:08:42.616152600,OUT
username,2024-03-06T17:18:06.065173800,IN
username,2024-03-06T17:43:17.309579400,IN
exampleUsername,2024-03-06T17:57:39.135890800,IN
username,2024-03-06T18:45:37.942821800,IN
username,2024-03-06T18:49:42.196574300,IN
username,2024-03-06T18:56:48.202813600,IN
username,2024-03-06T19:01:51.889637800,IN
username,2024-03-06T19:22:48.894052600,IN
username,2024-03-06T19:28:45.332280300,IN
null,2024-03-06T19:31:16.814819800,IN
null,2024-03-06T19:32:29.046689200,IN
Manuel,2024-03-06T19:36:22.430889,IN
Antonio,2024-03-06T19:39:13.884521600,OUT
Manuel,2024-03-06T20:08:43.799799600,IN
Manuel,2024-03-06T22:39:47.374245400,IN
Manuel,2024-03-08T20:26:22.091098900,IN
Manuel,2024-03-08T20:26:23.950260500,OUT
Manuel,2024-03-08T20:33:14.199865,IN
